고객명,매출년도,사용량,사용열량
(주)대호에이엘,2022,6655973.0,285491278.735
(주)대호에이엘,2023,7091808.0,303067641.79
(주)대호에이엘,2024,6135988.0,261879744.37800002
(주)대호에이엘,2025,6556923.0,279590209.332
(주)대호에이엘 구지공장,2022,2316.0,99310.32800000001
(주)대호에이엘 구지공장,2023,8504.0,363739.031
(주)대호에이엘 구지공장,2024,8174.0,349173.117
(주)대호에이엘 구지공장,2025,3621.0,155222.88199999998
(주)대호하이텍,2020,639431.0,27244590.565
(주)대호하이텍,2021,532411.0,22703060.698
(주)대호하이텍,2022,4444.0,190810.24099999998
(주)대흥염공,2020,101170.0,4310861.648
(주)더존푸드,2020,13744.377600000002,585833.6797
(주)더존푸드,2021,42892.8632,1825840.9054
(주)더존푸드,2022,107112.7834,4590878.8114
(주)더존푸드,2023,122544.1905,5236837.6213
(주)더존푸드,2024,70005.18950000001,2987318.9787
(주)더존푸드,2025,73176.3327,3120780.887
(주)덕동산업,2020,140515.9356,5988461.6493
(주)덕동산업,2021,153613.954,6543840.1947
(주)덕동산업,2022,143693.9902,6160062.188100001
(주)덕동산업,2023,148805.0,6358380.644
(주)덕동산업,2024,149303.0,6371151.813999999
(주)덕동산업,2025,160142.0,6829304.541999999
(주)덕산,2020,5980.468800000001,254832.0013
(주)덕산,2021,6584.3692,280767.08129999996
(주)덕산,2022,6482.8576,278489.37080000003
(주)덕산,2023,6131.1348,262910.2317
(주)덕산,2024,4693.7974,200458.78710000002
(주)덕산,2025,3810.965,163152.08500000002
(주)덕우실업,2020,386.0,16438.879
(주)덕우실업,2021,123.0,5245.4
(주)덕우실업,2022,89.0,3816.725
(주)덕우실업,2023,0.0,0.0
(주)덕우실업,2024,71.0,3032.77
(주)덕우실업,2025,10974.0,466893.346
(주)도미니코텍스타일,2022,325802.0,13948561.238
(주)도미니코텍스타일,2023,566831.0,24234925.490000002
(주)도미니코텍스타일,2024,484482.0,20667814.599
(주)도미니코텍스타일,2025,449651.0,19181899.077
(주)도야지식품,2020,1085036.55,46229888.7948
(주)도야지식품,2021,1216481.1302,51821315.000199996
(주)도야지식품,2022,1286156.2131,55126612.7832
(주)도야지식품,2023,1166920.6138,49880707.748
(주)도야지식품,2024,1096579.1933,46794828.7267
(주)도야지식품,2025,1137197.7084,48513507.6953
(주)동강테크,2020,157417.0,6708011.757
(주)동강테크,2021,153854.0,6554139.863
(주)동강테크,2022,158916.0,6813042.927
(주)동강테크,2023,188671.0,8066758.402
(주)동강테크,2024,172377.0,7356054.370000001
(주)동강테크,2025,300712.0,12823810.608
(주)동산테크,2020,84231.0,3589218.173
(주)동산테크,2021,106878.0,4553645.112
(주)동산테크,2022,118569.0,5083613.315
(주)동산테크,2023,103530.0,4427338.992
(주)동산테크,2024,108983.0,4651447.22
(주)동산테크,2025,100704.0,4298520.623
(주)동아티오엘,2020,793.6307999999999,33812.0744
(주)동아티오엘,2021,738.8254,31474.5282
(주)동아티오엘,2022,693.9067,29746.6022
(주)동아티오엘,2023,719.2755,30748.9065
(주)동아티오엘,2024,653.6582999999999,27895.4694
(주)동아티오엘,2025,441.78340000000003,18796.3276
(주)동양엘앤피,2020,202851.0,8644504.46
(주)동양엘앤피,2021,203315.0,8662301.314
(주)동양엘앤피,2022,168668.0,7231878.853
(주)동양엘앤피,2023,51113.0,2198410.0590000004
(주)동진상사,2020,840054.0,35800790.04
(주)동진상사,2021,1177381.0,50157037.04799999
(주)동진상사,2022,1195070.0,51236472.653
(주)동진상사,2023,1183797.0,50593509.353
(주)동진상사,2024,1254459.0,53532436.772
(주)동진상사,2025,1240936.0,52937918.012
(주)동화다이텍,2022,204868.0,8768083.805
(주)동화다이텍,2023,159234.0,6855138.854
(주)동화인더스트리,2020,486981.168,20747734.0965
(주)동화인더스트리,2021,400598.2372,17066717.9549
(주)동화인더스트리,2022,378903.6395,16248681.435899999
